title,upc,category,price_e_tax,price_i_tax,tax,rating,reviews,quantity,stock,link,img_link
A Light in the Attic,23356462d1320d61,Thriller,12.84,12.84,0.0,Three,0,In stock (19 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,327f68a59745c102,Music,37.32,37.32,0.0,One,0,In stock (19 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,5674a18a29a43ced,Food and Drink,30.52,30.52,0.0,One,0,In stock (19 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,c2e46a2ee3b4a322,Romance,25.27,25.27,0.0,Four,0,In stock (19 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,00bfed9e18bb36f3,Romance,34.53,34.53,0.0,Five,0,In stock (19 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,9528d0948525bf5f,Childrens,54.64,54.64,0.0,One,0,In stock (19 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,c7d160c2c0de586f,Default,22.5,22.5,0.0,Four,0,In stock (19 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",904208d6aa64b655,Default,53.13,53.13,0.0,Three,0,In stock (19 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4c28def39d850cdf,Nonfiction,40.3,40.3,0.0,Four,0,In stock (18 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,ccd9ffa25efabdea,Art,44.18,44.18,0.0,One,0,In stock (18 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",6258a1f6a6dcfe50,Spirituality,17.66,17.66,0.0,Two,0,In stock (18 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,3c039985229453bf,Nonfiction,31.05,31.05,0.0,Four,0,In stock (18 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,5dada2b7be26bd03,Thriller,23.82,23.82,0.0,Five,0,In stock (18 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),9f6568e9c95f60b0,Childrens,36.89,36.89,0.0,Five,0,In stock (18 available),In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,6be3beb0793a53e7,Philosophy,15.94,15.94,0.0,Five,0,In stock (18 available),In stock,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",668fe56b17cfcd4f,Default,33.29,33.29,0.0,Three,0,In stock (18 available),In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,094b269567e1c300,Default,18.02,18.02,0.0,One,0,In stock (18 available),In stock,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,19ed25f4641d5efd,Mystery,19.63,19.63,0.0,One,0,In stock (18 available),In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,be5cc846f45496fb,Thriller,52.22,52.22,0.0,Two,0,In stock (18 available),In stock,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,55f9da0c5eea2e10,Poetry,33.63,33.63,0.0,Two,0,In stock (17 available),In stock,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
A Light in the Attic,b4fd5943413e089a,Poetry,57.31,57.31,0.0,Three,0,In stock (17 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,c8f7f0cb1abb9cac,Nonfiction,26.41,26.41,0.0,One,0,In stock (17 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,b12b89017878a60d,Fiction,47.61,47.61,0.0,One,0,In stock (17 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,c27f6e1f185b0383,Nonfiction,23.11,23.11,0.0,Four,0,In stock (17 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,acddfeab2a407640,New Adult,45.07,45.07,0.0,Five,0,In stock (16 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,3ecb690d1542c568,Contemporary,31.77,31.77,0.0,One,0,In stock (16 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,8d455c7539795d2a,Fiction,50.27,50.27,0.0,Four,0,In stock (16 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",657fe5ead67a7767,Poetry,14.27,14.27,0.0,Three,0,In stock (16 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,d170b5a0da46380e,Nonfiction,44.18,44.18,0.0,Four,0,In stock (16 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,7ae099f3898e0209,Fantasy,18.78,18.78,0.0,One,0,In stock (16 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",9a9d6e9bc555731e,History,25.52,25.52,0.0,Two,0,In stock (16 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,09555be379ad9253,Sequential Art,16.28,16.28,0.0,Four,0,In stock (16 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,7858914fad68493c,Nonfiction,31.12,31.12,0.0,Five,0,In stock (16 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),51653ef291ab7ddc,Sequential Art,19.49,19.49,0.0,Five,0,In stock (16 available),In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,709822d0b5bcb7f4,Fiction,17.27,17.27,0.0,Five,0,In stock (16 available),In stock,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",4eed62cf5f8d8edf,Add a comment,19.09,19.09,0.0,Three,0,In stock (16 available),In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,b5ea0b5dabed25a8,Childrens,56.13,56.13,0.0,One,0,In stock (16 available),In stock,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,142d767a56a9254d,Food and Drink,56.41,56.41,0.0,One,0,In stock (16 available),In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,5ee94540d0749ea0,Mystery,56.5,56.5,0.0,Two,0,In stock (16 available),In stock,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,cedf82b5086e4691,Young Adult,45.22,45.22,0.0,Two,0,In stock (16 available),In stock,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
A Light in the Attic,7d385d34d12e60ff,Sequential Art,38.16,38.16,0.0,Three,0,In stock (16 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,d01ac97e2b8947c2,Fiction,54.11,54.11,0.0,One,0,In stock (16 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,aadee1c326d286e3,Science,42.96,42.96,0.0,One,0,In stock (16 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,31075275518532d7,Add a comment,23.89,23.89,0.0,Four,0,In stock (16 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,0da9aa9d24677fc0,Nonfiction,16.77,16.77,0.0,Five,0,In stock (16 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,8c9e6bf2467d740d,Default,20.59,20.59,0.0,One,0,In stock (16 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,acd86a5426e21ca0,Nonfiction,37.13,37.13,0.0,Four,0,In stock (16 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",a30b270e25489e5c,Nonfiction,56.06,56.06,0.0,Three,0,In stock (16 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,bd261725b99f5983,Philosophy,58.11,58.11,0.0,Four,0,In stock (16 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,43c6a960757cf559,Health,49.05,49.05,0.0,One,0,In stock (16 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",80cfab6bcff3a244,Add a comment,40.76,40.76,0.0,Two,0,In stock (16 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,a3d2a4250807f1e9,History,19.73,19.73,0.0,Four,0,In stock (16 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,7d6d2a6c0276f81b,Spirituality,32.24,32.24,0.0,Five,0,In stock (16 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),87b0615b6e1f4d7b,Nonfiction,41.83,41.83,0.0,Five,0,In stock (16 available),In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,e6af5bf1163c1151,Default,39.58,39.58,0.0,Five,0,In stock (16 available),In stock,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",6f78a0d744c35456,Horror,39.25,39.25,0.0,Three,0,In stock (16 available),In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,c849f0b2f5d6a742,Fantasy,25.02,25.02,0.0,One,0,In stock (16 available),In stock,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,53a3d11bb568cc8b,Sequential Art,51.04,51.04,0.0,One,0,In stock (16 available),In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,d7310206583a54b6,Nonfiction,19.83,19.83,0.0,Two,0,In stock (16 available),In stock,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,c82a3e358c773c73,Sequential Art,50.4,50.4,0.0,Two,0,In stock (16 available),In stock,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
A Light in the Attic,0fa6dceead7ce47a,Sequential Art,13.61,13.61,0.0,Three,0,In stock (16 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,0e691eda369f4e09,Fantasy,13.34,13.34,0.0,One,0,In stock (16 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,e80f8e518b300dfe,Sequential Art,18.97,18.97,0.0,One,0,In stock (16 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,7392c0032f92d816,History,36.28,36.28,0.0,Four,0,In stock (16 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,9429b4d59c537af5,Sequential Art,10.16,10.16,0.0,Five,0,In stock (16 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,889139b8e9c4cb36,Sequential Art,15.44,15.44,0.0,One,0,In stock (16 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,11809b1d323b3057,Sequential Art,48.41,48.41,0.0,Four,0,In stock (16 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",9ffa38d3b832433a,Self Help,46.35,46.35,0.0,Three,0,In stock (16 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,b757c0c361e689ce,Add a comment,14.07,14.07,0.0,Four,0,In stock (16 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,3c346ab1e76ae1f6,Young Adult,14.86,14.86,0.0,One,0,In stock (16 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",784bc2279baa878d,Food and Drink,33.37,33.37,0.0,Two,0,In stock (16 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,fa9610a50a1bf149,Fantasy,56.4,56.4,0.0,Four,0,In stock (16 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,72f9d5be3472d34e,Food and Drink,14.02,14.02,0.0,Five,0,In stock (16 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),460089f796fb3f82,Sequential Art,46.91,46.91,0.0,Five,0,In stock (16 available),In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,b6ee99bcf06fc91f,Sequential Art,45.61,45.61,0.0,Five,0,In stock (16 available),In stock,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57e5a4d515c8ce44,Sequential Art,19.92,19.92,0.0,Three,0,In stock (16 available),In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,7b75cc7f223791f4,Food and Drink,40.11,40.11,0.0,One,0,In stock (16 available),In stock,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,228f74b74f3a08ae,Add a comment,53.9,53.9,0.0,One,0,In stock (16 available),In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,18ad3ed896c7ce05,Science Fiction,35.67,35.67,0.0,Two,0,In stock (16 available),In stock,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,b136b1b180ca753a,Nonfiction,22.0,22.0,0.0,Two,0,In stock (16 available),In stock,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
A Light in the Attic,e4f74c16de34d440,Science,57.36,57.36,0.0,Three,0,In stock (16 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,8d4eefad7a2b3915,Sequential Art,29.17,29.17,0.0,One,0,In stock (16 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,1c89ae5bb804e4de,Sequential Art,54.63,54.63,0.0,One,0,In stock (16 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,a6f99b9e687f9d46,Self Help,46.03,46.03,0.0,Four,0,In stock (16 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,2a97cffe61c3c4c7,Romance,33.97,33.97,0.0,Five,0,In stock (16 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,f2df3bb043a8abb0,Sequential Art,22.11,22.11,0.0,One,0,In stock (16 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,9beb96a2300109d7,Historical Fiction,29.69,29.69,0.0,Four,0,In stock (16 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",9e28048cea8d41f7,Romance,15.97,15.97,0.0,Three,0,In stock (16 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,7add3f8e49ec0826,Romance,21.96,21.96,0.0,Four,0,In stock (16 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,311c0dd0e354a33e,Nonfiction,54.35,54.35,0.0,One,0,In stock (16 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",fce19f9b4a943f22,Religion,37.97,37.97,0.0,Two,0,In stock (16 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,09b6cc87e62c2c58,Sequential Art,51.99,51.99,0.0,Four,0,In stock (16 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,7267864328ae8b9d,Fantasy,43.29,43.29,0.0,Five,0,In stock (16 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
